Start,End,Open,High,Low,Close,Volume,Market Cap
01/11/2014,01/12/2014,338.321,457.093,320.626,378.236,22149845.39,4930454185
01/10/2014,01/11/2014,386.944,411.698,289.296,338.594,29561698.29,4888237736
01/09/2014,01/10/2014,477.763,493.928,372.24,387.137,23419401.95,5938854456
01/08/2014,01/09/2014,586.235,598.116,443.851,477.332,21981529.52,7077176964
01/07/2014,01/08/2014,641.391,657.858,564.511,586.235,15970524.7,8070032043
01/06/2014,01/07/2014,623.693,674.111,549.821,639.797,23904669.97,7953771964
01/05/2014,01/06/2014,447.633,624.715,423.251,623.677,16059633.01,6167825027
01/04/2014,01/05/2014,457,542.378,351.816,447.645,26488198.7,5843968112
01/03/2014,01/04/2014,549.92,702.91,443.365,457.001,25001136.87,7417016076
01/02/2014,01/03/2014,828.61,853.52,420.41,549.26,44306635.67,8325635269
01/01/2014,01/02/2014,754.97,1017.12,754.97,829.92,36818950.26,10320736185
01/12/2013,01/01/2014,1128.92,1156.12,420.51,754.01,5158980.036,11156510073
01/11/2013,01/12/2013,203.9,1156.14,201.65,1129.43,0,6246532534
01/10/2013,01/11/2013,132.68,217.42,102.25,204,0,1853012812
01/09/2013,01/10/2013,135.14,146.5,118.46,133,0,1528239007
01/08/2013,01/09/2013,106.213,140.89,101.211,135.35,0,1309683803
01/07/2013,01/08/2013,97.51,111.344,65.526,106.09,0,1031538611
01/06/2013,01/07/2013,128.815,129.78,88.5,96.614,0,1228922903
01/05/2013,01/06/2013,139,139.89,79.1,129,0,1340109578
01/04/2013,01/05/2013,104,230,68.3557,139,0,1427606232
01/03/2013,01/04/2013,34.5,93.03,34.25,93.03,0,619544877.6
01/02/2013,01/03/2013,20.499,33.38,19.63,33.38,0,278622732.2
01/01/2013,01/02/2013,13.3041,20.41,13.28,20.41,0,165662653.1
01/12/2012,01/01/2013,12.562,13.7001,12.5,13.51,0,140706496.6
01/11/2012,01/12/2012,10.57,12.565,10.4688,12.565,0,119048206.3
01/10/2012,01/11/2012,12.4,12.89,10.1706,11.201,0,119321881.1
01/09/2012,01/10/2012,9.9654,12.5725,9.9654,12.4,0,114925158.9
01/08/2012,01/09/2012,9.5503,13.5,8,10.16,0,105548472.4
01/07/2012,01/08/2012,6.629,9.35,6.4499,9.35,0,74625193.16
01/06/2012,01/07/2012,5.2748,6.69,5.2051,6.69,0,55464412.99
01/05/2012,01/06/2012,5,5.1801,4.85,5.1801,0,45608242.59
01/04/2012,01/05/2012,4.827,5.35,4.6872,4.9491,0,43717565.02
01/03/2012,01/04/2012,4.9213,5.38,4.55,4.9087,0,41926955.21
01/02/2012,01/03/2012,6.0756,6.1,4.222,4.86,0,42775023.36
01/01/2012,01/02/2012,5.2677,7.1136,4.8808,5.4838,0,49335242.37
01/12/2011,01/01/2012,3.06,4.722,2.794,4.722,0,27352655.9
01/11/2011,01/12/2011,3.15,3.2543,2.05,2.9701,0,20624119.31
01/10/2011,01/11/2011,5.0324,5.0324,2.27,3.248,0,27358047.48
01/09/2011,01/10/2011,8.21,8.64,4.77,5.1401,0,43513973.78
01/08/2011,01/09/2011,13.0946,13.0946,6.55,8.1995,0,70964586.41
01/07/2011,01/08/2011,15.397,15.4405,12.9069,13.35,0,95745385.24
01/06/2011,01/07/2011,9.57,29.6,9.57,16.101,0,116245046.2
01/05/2011,01/06/2011,3.0331,8.8,3.0331,8.741,0,38183642.62
01/04/2011,01/05/2011,0.7741,3.5,0.68,3.5,0,7323898.121
01/03/2011,01/04/2011,0.9202,0.9399,0.7411,0.7846,0,4857974.034
01/02/2011,01/03/2011,0.7,1.09,0.69,0.86,0,4955396.71
01/01/2011,01/02/2011,0.3,0.52,0.295,0.52,0,1887226.794
01/12/2010,01/01/2011,0.2275,0.3,0.19,0.3,0,1186246.063
01/11/2010,01/12/2010,0.1955,0.39,0.1931,0.2082,0,1178756.174
01/10/2010,01/11/2010,0.062,0.1989,0.0611,0.1925,0,460966.578
01/09/2010,01/10/2010,0.0629,0.0637,0.059,0.0619,0,246746.631
01/08/2010,01/09/2010,0.0611,0.071,0.057,0.06,0,239049.6949
01/07/2010,01/08/2010,0.05,0.0858,0.05,0.0679,0,220535.6774
01/06/2010,01/07/2010,0.04,0.04,0.04,0.04,0,0
01/05/2010,01/06/2010,0.03,0.03,0.03,0.03,0,0
01/04/2010,01/05/2010,0.02,0.02,0.02,0.02,0,0
01/03/2010,01/04/2010,0.01,0.01,0.01,0.01,0,0
01/02/2010,01/03/2010,0.005,0.005,0.005,0.005,0,0
01/01/2010,01/02/2010,0,0,0,0,0,0
